pincode,district_lgd_code,lat,lng
606708,593,12.238714,78.949871
606709,593,12.233500,78.800100
606710,593,12.443714,78.971229
606751,593,12.436120,79.123590
606752,593,12.384957,79.166200
606753,593,12.143300,79.027125
606754,593,12.152514,79.225857
606755,593,12.325413,79.176037
606801,593,12.468300,79.353400
606802,593,12.381200,79.088800
606803,593,12.498594,79.124506
606804,593,12.088543,79.168900
606805,593,12.325675,79.071900
606806,593,12.066900,79.119820
606807,593,12.541100,79.318000
606808,593,12.123483,79.078617
606811,593,12.203357,79.129000
606901,593,12.431100,79.167700
606902,593,12.454810,79.273820
606903,593,12.594312,79.218450
606904,593,12.449300,79.194383
606905,593,12.530757,79.180457
606906,593,12.463200,79.020200
606907,593,12.467986,79.184400
606908,593,12.404200,78.965000
607001,570,11.757933,79.765483
607002,570,11.731200,79.587100
607003,570,11.520485,79.449854
607004,570,11.731200,79.587100
607005,570,11.731200,79.587100
607006,570,11.754000,79.704500
607101,729,11.709773,79.372991
607102,570,11.756900,79.623800
607103,570,11.538171,79.433986
607104,570,11.785017,79.617500
607105,570,11.591387,79.538112
607106,570,11.805471,79.511336
607107,729,11.857200,79.425100
607108,570,11.829400,79.498580
607109,570,11.784886,79.705800
607112,570,11.622125,79.399150
607201,729,11.706257,79.171371
607202,729,11.728080,79.191480
607203,596,11.890780,79.370080
607204,729,11.761509,79.375409
607205,570,11.722213,79.490912
607209,729,11.855583,79.322383
607301,570,11.550150,79.459514
607302,570,11.536391,79.463609
607303,570,11.600657,79.332586
607308,570,11.535000,79.450900
607401,570,11.535000,79.450900
607402,570,11.535000,79.450900
607801,570,11.604800,79.521000
607802,570,11.571245,79.543064
607803,570,11.604800,79.521000
607804,570,11.560300,79.397680
607805,570,11.658689,79.464778
607807,570,11.604800,79.521000
608001,570,11.632700,79.446700
608002,570,11.555918,79.524718
608102,570,11.449300,79.766800
608201,570,11.403300,79.577878
608301,570,11.283573,79.529318
608302,570,11.333173,79.641100
608303,570,11.585200,79.467156
608304,570,11.192800,79.501913
608305,570,11.361011,79.585322
608306,570,11.223780,79.567920
608401,570,11.363200,79.664586
608501,570,11.535000,79.450900
608502,570,11.486620,79.752680
608601,570,11.448609,79.605600
608602,570,11.436100,79.652325
608701,570,11.362775,79.483675
608702,570,11.418218,79.509891
608703,570,11.424800,79.395877
608704,570,11.475967,79.562300
608801,570,11.524067,79.459689
608901,610,11.278087,79.276588
609001,735,10.919680,79.702090
609003,735,11.104300,79.627200
609101,735,10.942891,79.746855
609102,735,10.849400,79.738900
609103,735,10.849400,79.738900
609104,735,11.275300,79.771000
609105,735,11.151025,79.840675
609106,735,11.200425,79.793800
609107,735,10.849400,79.738900
609108,735,11.285914,79.705800
609109,735,11.142117,79.753283
609110,735,11.203000,79.588700
609111,735,11.266400,79.750600
609112,735,11.195500,79.660600
609113,735,11.240000,79.837100
609114,735,11.166333,79.811500
609115,735,11.269100,79.800800
609116,735,11.203000,79.588700
609117,735,10.948014,79.733286
609118,735,10.898217,79.729600
609201,735,11.106000,79.595300
609202,735,11.204800,79.570200
609203,735,11.126700,79.603612
609204,735,11.041850,79.631200
609205,735,10.849400,79.738900
609301,735,11.103617,79.816217
609302,735,11.191500,79.712900
609303,735,10.849400,79.738900
609304,735,11.123640,79.736580
609305,735,11.103300,79.691100
609306,735,11.013000,79.745100
609307,735,10.978717,79.705483
609308,735,11.018200,79.756500
609309,735,11.103900,79.739886
609310,735,11.037800,79.795833
609311,735,11.056200,79.704700
609312,735,11.056200,79.704700
609313,735,11.027600,79.854300
609314,735,10.985450,79.555800
609401,735,11.050000,79.643800
609402,735,11.039100,79.689250
609403,590,10.928250,79.646338
609404,735,11.030667,79.646300
609405,590,10.962900,79.660800
609501,590,10.875287,79.555763
609502,590,10.898700,79.634650
609503,590,10.923600,79.690812
609504,590,10.857367,79.670767
609601,579,10.909000,79.731200
609603,590,10.975850,79.751900
609604,579,10.849400,79.738900
609608,590,10.957500,79.703400
609701,579,10.869233,79.671600
609702,579,10.881400,79.735283
609703,579,10.843400,79.795100
609704,579,10.843200,79.696800
609801,735,10.949614,79.663857
609802,586,10.964600,79.547575
609803,735,10.849400,79.738900
609804,586,11.001625,79.551800
609805,735,11.021200,79.593900
609806,735,11.068600,79.623300
609807,586,11.018933,79.422217
609808,735,10.849400,79.738900
609810,735,10.849400,79.738900
609811,735,10.989900,79.641400
610001,590,10.679700,79.536000
610003,590,10.679700,79.536000
610004,590,10.679700,79.536000
610005,590,10.722125,79.586725
610101,579,10.829691,79.709691
610102,590,10.733300,79.550900
610103,590,10.772400,79.495900
610104,590,10.790700,79.601200
610105,590,10.892320,79.591200
610106,590,10.761880,79.642180
610107,590,10.714933,79.535067
610109,590,10.752500,79.635200
610201,579,10.752250,79.662900
610202,590,10.637400,79.631700
610203,590,10.620043,79.652771
610204,579,10.849400,79.738900
610205,590,10.659833,79.623700
610206,590,10.683567,79.597833
610207,579,10.651900,79.692900
611001,579,10.870600,79.771600
611002,579,10.870625,79.771613
611003,579,10.870600,79.771600
611101,590,10.732740,79.661860
